item,api_id,check item
3rd age amulet,10344,3rd age amulet
3rd age axe,20011,3rd age axe
3rd age bow,12424,3rd age bow
3rd age cloak,12437,3rd age cloak
3rd age druidic cloak,23345,3rd age druidic cloak
3rd age druidic robe bottoms,23339,3rd age druidic robe bottoms
3rd age druidic robe top,23336,3rd age druidic robe top
3rd age druidic staff,23342,3rd age druidic staff
3rd age felling axe,28226,3rd age felling axe
3rd age full helmet,10350,3rd age full helmet
3rd age kiteshield,10352,3rd age kiteshield
3rd age longsword,12426,3rd age longsword
3rd age mage hat,10342,3rd age mage hat
3rd age pickaxe,20014,3rd age pickaxe
3rd age platebody,10348,3rd age platebody
3rd age platelegs,10346,3rd age platelegs
3rd age plateskirt,23242,3rd age plateskirt
3rd age range coif,10334,3rd age range coif
3rd age range legs,10332,3rd age range legs
3rd age range top,10330,3rd age range top
3rd age robe,10340,3rd age robe
3rd age robe top,10338,3rd age robe top
3rd age vambraces,10336,3rd age vambraces
3rd age wand,12422,3rd age wand
A powdered wig,10392,a powdered wig
Abyssal ashes,25775,abyssal ashes
Abyssal bludgeon,13263,abyssal bludgeon
Abyssal bracelet(5),11095,abyssal bracelet(5)
Abyssal dagger,13265,abyssal dagger
Abyssal dagger (p),13267,abyssal dagger (p)
Abyssal dagger (p+),13269,abyssal dagger (p+)
Abyssal dagger (p++),13271,abyssal dagger (p++)
Abyssal whip,4151,abyssal whip
Accursed sceptre (au),27676,accursed sceptre (au)
Accursed sceptre (u),27662,accursed sceptre (u)
Achey tree logs,2862,achey tree logs
Acorn,5312,acorn
Adamant 2h sword,1317,adamant 2h sword
Adamant arrow,890,adamant arrow
Adamant arrow(p),891,adamant arrow(p)
Adamant arrow(p+),5620,adamant arrow(p+)
Adamant arrow(p++),5626,adamant arrow(p++)
Adamant arrowtips,43,adamant arrowtips
Adamant axe,1357,adamant axe
Adamant battleaxe,1371,adamant battleaxe
Adamant bolts,9143,adamant bolts
Adamant bolts (p),9290,adamant bolts (p)
Adamant bolts (p+),9297,adamant bolts (p+)
Adamant bolts (p++),9304,adamant bolts (p++)
Adamant bolts(unf),9380,adamant bolts(unf)
Adamant boots,4129,adamant boots
Adamant brutal,4798,adamant brutal
Adamant cane,12377,adamant cane
Adamant chainbody,1111,adamant chainbody
Adamant claws,3100,adamant claws
Adamant crossbow,9183,adamant crossbow
Adamant crossbow (u),9463,adamant crossbow (u)
Adamant dagger,1211,adamant dagger
Adamant dagger(p),1227,adamant dagger(p)
Adamant dagger(p+),5676,adamant dagger(p+)
Adamant dagger(p++),5694,adamant dagger(p++)
Adamant dart,810,adamant dart
Adamant dart tip,823,adamant dart tip
Adamant dart(p),816,adamant dart(p)
Adamant dart(p+),5633,adamant dart(p+)
Adamant dart(p++),5640,adamant dart(p++)
Adamant dragon mask,23270,adamant dragon mask
Adamant felling axe,28211,adamant felling axe
Adamant full helm,1161,adamant full helm
Adamant full helm (g),2613,adamant full helm (g)
Adamant full helm (t),2605,adamant full helm (t)
Adamant gold-trimmed set (lg),13020,adamant gold-trimmed set (lg)
Adamant gold-trimmed set (sk),13022,adamant gold-trimmed set (sk)
Adamant halberd,3200,adamant halberd
Adamant hasta,11375,adamant hasta
Adamant hasta(p),11407,adamant hasta(p)
Adamant hasta(p+),11410,adamant hasta(p+)
Adamant hasta(p++),11412,adamant hasta(p++)
Adamant helm (h1),10296,adamant helm (h1)
Adamant helm (h2),10298,adamant helm (h2)
Adamant helm (h3),10300,adamant helm (h3)
Adamant helm (h4),10302,adamant helm (h4)
Adamant helm (h5),10304,adamant helm (h5)
Adamant javelin,829,adamant javelin
Adamant javelin heads,19578,adamant javelin heads
Adamant javelin(p),835,adamant javelin(p)
Adamant javelin(p+),5646,adamant javelin(p+)
Adamant javelin(p++),5652,adamant javelin(p++)
Adamant kiteshield,1199,adamant kiteshield
Adamant kiteshield (g),2611,adamant kiteshield (g)
Adamant kiteshield (t),2603,adamant kiteshield (t)
Adamant knife,867,adamant knife
Adamant knife(p),875,adamant knife(p)
Adamant knife(p+),5659,adamant knife(p+)
Adamant knife(p++),5666,adamant knife(p++)
Adamant longsword,1301,adamant longsword
Adamant mace,1430,adamant mace
Adamant med helm,1145,adamant med helm
Adamant pickaxe,1271,adamant pickaxe
Adamant platebody,1123,adamant platebody
Adamant platebody (g),2607,adamant platebody (g)
Adamant platebody (h1),23392,adamant platebody (h1)
Adamant platebody (h2),23395,adamant platebody (h2)
Adamant platebody (h3),23398,adamant platebody (h3)
Adamant platebody (h4),23401,adamant platebody (h4)
Adamant platebody (h5),23404,adamant platebody (h5)
Adamant platebody (t),2599,adamant platebody (t)
Adamant platelegs,1073,adamant platelegs
Adamant platelegs (g),2609,adamant platelegs (g)
Adamant platelegs (t),2601,adamant platelegs (t)
Adamant plateskirt,1091,adamant plateskirt
Adamant plateskirt (g),3475,adamant plateskirt (g)
Adamant plateskirt (t),3474,adamant plateskirt (t)
Adamant scimitar,1331,adamant scimitar
Adamant set (lg),13012,adamant set (lg)
Adamant set (sk),13014,adamant set (sk)
Adamant shield (h1),7334,adamant shield (h1)
Adamant shield (h2),7340,adamant shield (h2)
Adamant shield (h3),7346,adamant shield (h3)
Adamant shield (h4),7352,adamant shield (h4)
Adamant shield (h5),7358,adamant shield (h5)
Adamant spear,1245,adamant spear
Adamant spear(p),1259,adamant spear(p)
Adamant spear(p+),5712,adamant spear(p+)
Adamant spear(p++),5726,adamant spear(p++)
Adamant sq shield,1183,adamant sq shield
Adamant sword,1287,adamant sword
Adamant thrownaxe,804,adamant thrownaxe
Adamant trimmed set (lg),13016,adamant trimmed set (lg)
Adamant trimmed set (sk),13018,adamant trimmed set (sk)
Adamant warhammer,1345,adamant warhammer
Adamantite bar,2361,adamantite bar
Adamantite limbs,9429,adamantite limbs
Adamantite nails,4823,adamantite nails
Adamantite ore,449,adamantite ore
Admiral pie,7198,admiral pie
Afro,12430,afro
Agility mix(1),11463,agility mix(1)
Agility mix(2),11461,agility mix(2)
Agility potion(1),3038,agility potion(1)
Agility potion(2),3036,agility potion(2)
Agility potion(3),3034,agility potion(3)
Agility potion(4),3032,agility potion(4)
Ahrim's armour set,12881,ahrim's armour set
Ahrim's hood,4708,ahrim's hood
Ahrim's hood 0,4860,ahrim's hood 0
Ahrim's robeskirt,4714,ahrim's robeskirt
Ahrim's robeskirt 0,4878,ahrim's robeskirt 0
Ahrim's robetop,4712,ahrim's robetop
Ahrim's robetop 0,4872,ahrim's robetop 0
Ahrim's staff,4710,ahrim's staff
Ahrim's staff 0,4866,ahrim's staff 0
Air battlestaff,1397,air battlestaff
Air orb,573,air orb
Air rune,556,air rune
Air talisman,1438,air talisman
Air tiara,5527,air tiara
Airtight pot,4436,airtight pot
Ale of the gods,20056,ale of the gods
Ale yeast,5767,ale yeast
